RazonSocial,DenominacionFondo,TipoFondo,FechaInscripcion,ResolucionInscripcion,Moneda,FechaInformacion,PatrimonioInscrito,ValorCuota,NumeroParticipes,NumeroCuotas
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 12m Tesoro Americano 1 Fmiv,FONDO MUTUO,2025-07-10,Expediente (CDN) 2025030303,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 2 Fmiv,FONDO MUTUO,2025-11-10,Expediente (CDN) 2025049459,Dolares,2026-02-28,14275382.67,100.381166,100.0,42382.953903
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 5 Fmiv,FONDO MUTUO,2026-02-18,Expediente (CDN) 2026007810,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 12m Inversión Global 1 Fmiv,FONDO MUTUO,2025-11-13,Expediente (CDN) 2025049997,Dolares,2026-02-28,119569.95,100.508073,8.0,354.54943
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 12m Inversión Global 2 Fmiv,FONDO MUTUO,2025-12-02,Expediente (CDN) 2025052677,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Inversión Global 2 Fmiv,FONDO MUTUO,2025-12-02,Expediente (CDN) 2025052674,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 3 Fmiv,FONDO MUTUO,2025-12-02,Expediente (CDN) 2025052680,Dolares,2026-02-28,39427215.32,100.178756,128.0,117294.100452
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 7 Fmiv,FONDO MUTUO,2026-02-18,Expediente (CDN) 2026007828,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 4 Fmiv,FONDO MUTUO,2025-12-02,Expediente (CDN) 2025052678,Dolares,2026-02-28,11948907.72,99.974151,48.0,35620.186104
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 6m Inversión Global 1 Fmiv,FONDO MUTUO,2025-12-02,Expediente (CDN) 2025052675,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Credicorp Capital 3m Inversión Global 6 Fmiv,FONDO MUTUO,2026-02-18,Expediente (CDN) 2026007830,Dolares,2026-02-28,,,,
CREDICORP CAPITAL S.A. SOCIEDAD ADMINISTRADORA DE FONDOS,Fondo De Inversión Credicorp Capital Crédito Privado Global,FONDO INVERSION,2025-12-11,Expediente (CDN) 2025053828,Dolares,2026-02-28,,,,
